,alpha,Прогон экперимента,MSE тренировочное,MSE тестовое,Кроссвалидация,Глубина дерева,Число листов
0,0.0,0,0.0,0.44923896567288196,0.48504382697688175,13,126
1,5.3828995133340925e-17,0,0.0,0.4756812947486478,0.6724856259657145,13,125
2,2.153159805333637e-16,0,0.0,0.47971325239822576,0.5415273879605323,13,124
3,1.0699970685640832e-06,0,1.0699970685638248e-06,0.4517842429178578,0.6375264092162155,13,123
4,1.4853941205927867e-06,0,2.5553911891373246e-06,0.45945667180278293,0.6926946251252214,13,122
5,3.5867233980971838e-06,0,6.142114587255495e-06,0.4813814296586314,0.538326408349402,13,121
6,5.0098694792666265e-06,0,1.1151984066571357e-05,0.47154884158804466,0.632356249295731,13,120
7,5.0098694793204555e-06,0,1.6161853545886975e-05,0.4766955091233516,0.5591820096768848,13,119
8,5.6884696165883674e-06,0,1.6161853545886975e-05,0.4600701893441983,0.6432013440320626,13,119
9,5.7581112275848705e-06,0,2.760843439037211e-05,0.5017782839239587,0.6592594198778311,13,117
10,6.312254684147409e-06,0,4.0232943758642664e-05,0.4763435863950444,0.6166656643925257,13,115
11,6.312254684201238e-06,0,4.0232943758642664e-05,0.4701062333207426,0.5920157586099564,13,115
12,6.312502092436551e-06,0,4.654544585113085e-05,0.49005054221174194,0.6464462625913246,13,114
13,6.539455567789572e-06,0,5.3084901419077635e-05,0.4837285685599444,0.5904769511697997,13,113
14,6.578081914139962e-06,0,5.966298333306961e-05,0.46685242923696263,0.6464719134152582,13,112
15,6.670431840768398e-06,0,6.633341517406643e-05,0.46586387744149615,0.7033041904076937,13,111
16,8.718786076088211e-06,0,7.505220125009615e-05,0.4697820895678769,0.603429552677705,13,110
17,9.965916852757683e-06,0,8.501811810285328e-05,0.4801704184323611,0.6427060679653075,13,109
18,1.0497585891088054e-05,0,9.551570399408125e-05,0.481910622817333,0.5989220085072123,13,108
19,1.1697001353606527e-05,0,0.00010721270534774727,0.4592349798785067,0.5955275414446124,13,107
20,1.2375319214961358e-05,0,0.0001195880245625158,0.4775959620291721,0.5327151444593943,13,106
21,1.4763961696131949e-05,0,0.0001343519862589247,0.4755895294968807,0.6249021998745468,13,105
22,1.8030364833354294e-05,0,0.00015238235109231498,0.4843543530618404,0.6338945201291392,13,104
23,1.8030364833381206e-05,0,0.00017041271592570521,0.480280475655048,0.6444119699445282,13,103
24,1.9811659436756933e-05,0,0.00019022437536250376,0.4621753839413274,0.7165387283684708,13,102
25,2.1024314885890888e-05,0,0.00021124869024826694,0.4835002669947976,0.6522639216350857,13,101
26,2.4586711032798135e-05,0,0.00023583540128092564,0.4794299214716774,0.6152345898669479,13,100
27,2.86779535061668e-05,0,0.00026451335478710575,0.4836255707960684,0.619042113447845,13,99
28,2.9839186718273357e-05,0,0.00029435254150539245,0.4773087208510285,0.6709514202970409,13,98
29,3.0417950700602173e-05,0,0.00029435254150539245,0.49093103635041585,0.6022306591293373,13,98
30,3.0417950700952062e-05,0,0.0003551884429071018,0.47554421667323654,0.6655076857306665,13,96
31,3.211452179396553e-05,0,0.0003873029647009366,0.47566259212122575,0.6593018832684987,13,95
32,3.2824413741696105e-05,0,0.00042012737844260203,0.46967808719971654,0.5908236141658877,12,94
33,3.313852647880994e-05,0,0.00042012737844260203,0.48263195530678465,0.650699201124863,12,94
34,3.440920596294827e-05,0,0.00045326590492158044,0.4734122418359301,0.6282178889168417,12,93
35,3.8237271341600596e-05,0,0.0005259123822265354,0.4824175126887064,0.7469791834587561,12,91
36,4.0608606800989143e-05,0,0.0005665209890277859,0.4839675003511014,0.607613490715981,12,90
37,4.125383635785706e-05,0,0.0005665209890277859,0.4823606437626163,0.5778229878131173,12,90
38,4.204862977151264e-05,0,0.0006498234551571769,0.4576459670488564,0.5879976259697499,12,88
39,4.5130609125419426e-05,0,0.0006949540642826617,0.47093801122915807,0.6076104772362833,12,87
40,4.98084426396872e-05,0,0.0006949540642826617,0.471606942074657,0.5627868367091305,12,87
41,5.516774548319107e-05,0,0.0007999302524055221,0.4809629939074598,0.6236645195474813,12,85
42,6.754027581899116e-05,0,0.0008674705282246298,0.5010514418827218,0.6867999543407373,12,84
43,6.754027581904499e-05,0,0.0008674705282246298,0.4809778557287611,0.5945647120057436,12,84
44,7.363474660972778e-05,0,0.0009350108040437365,0.5054737207677743,0.6656578327546089,12,83
45,7.388643333358057e-05,0,0.0010825319839869434,0.47409376329566966,0.7076778784493717,12,81
